year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
2002,Hunt Club 2,11,0.39285714285714285,41.14786,-73.30736,Sasco Brook
2002,Indian 1,0,0,41.11643,-73.37585,Indian River
2002,Indian 2,0,0,41.11837,-73.37903,Indian River
2002,Indian 3,0,0,41.12117,-73.37998,Indian River
2002,Sasco 1,8,0.25,41.12478,-73.29888,Sasco Brook
2002,Sasco 3,17,0.5,41.13702,-73.29708,Sasco Brook
2002,Sasco 4,17,0.5,41.13813,-73.29793,Sasco Brook
2002,Sasco 6,1,0.0625,41.14556,-73.30111,Sasco Brook
2002,Sasco 9,5,0.3125,41.1528,-73.30605,Sasco Brook
2003,Hunt Club 2,5,0.2777777777777778,41.14786,-73.30736,Sasco Brook
2003,Indian 1,4,0.2857142857142857,41.11643,-73.37585,Indian River
2003,Indian 2,2,0.14285714285714285,41.11837,-73.37903,Indian River
2003,Indian 3,3,0.21428571428571427,41.12117,-73.37998,Indian River
2003,Sasco 1,6,0.375,41.12478,-73.29888,Sasco Brook
2003,Sasco 3,9,0.5,41.13702,-73.29708,Sasco Brook
2003,Sasco 4,8,0.4,41.13813,-73.29793,Sasco Brook
2003,Sasco 5,8,0.4444444444444444,41.13853,-73.2979,Sasco Brook
2003,Sasco 6,9,0.4090909090909091,41.14556,-73.30111,Sasco Brook
2003,Sasco 9,9,0.5,41.1528,-73.30605,Sasco Brook
2004,Hunt Club 2,12,0.5,41.14786,-73.30736,Sasco Brook
2004,Sasco 1,2,0.3333333333333333,41.12478,-73.29888,Sasco Brook
2004,Sasco 3,3,0.5,41.13702,-73.29708,Sasco Brook
2004,Sasco 4,3,0.5,41.13813,-73.29793,Sasco Brook
2004,Sasco 5,9,0.45,41.13853,-73.2979,Sasco Brook
2004,Sasco 6,6,0.3,41.14556,-73.30111,Sasco Brook
2004,Sasco 9,9,0.45,41.1528,-73.30605,Sasco Brook
2005,Hunt Club 2,11,0.4583333333333333,41.14786,-73.30736,Sasco Brook
2005,Indian 1,6,0.3,41.11643,-73.37585,Indian River
2005,Indian 3,7,0.35,41.12117,-73.37998,Indian River
2005,Poplar 2,3,0.15,41.16205,-73.37512,Saugatuck River
2005,SG1,6,0.3,41.162278,-73.368167,Saugatuck River
2005,Sasco 5,9,0.45,41.13853,-73.2979,Sasco Brook
2005,Sasco 6,5,0.25,41.14556,-73.30111,Sasco Brook
2005,Sasco 9,9,0.45,41.1528,-73.30605,Sasco Brook
2005,Saugatuck 1,7,0.35,41.16748,-73.36647,Saugatuck River
2005,Saugatuck 2,3,0.15,41.17553,-73.36193,Saugatuck River
2005,West Saug 1,7,0.35,41.17809,-73.37404,Saugatuck River
2006,Hunt Club 2,5,0.5,41.14786,-73.30736,Sasco Brook
2006,Indian 1,5,0.25,41.11643,-73.37585,Indian River
2006,Indian 3,5,0.25,41.12117,-73.37998,Indian River
2006,Lamplight 1,9,0.45,41.11826,-73.34596,Pussy Willow Brook
2006,Muddy 1,10,0.5,41.12735,-73.329580000000007,Muddy Brook
2006,Muddy 6,15,0.46875,41.16444,-73.32521,Muddy Brook
2006,New 1,8,0.4,41.118839,-73.316926,Greens Farms Brook
2006,New 2,8,0.4,41.123344,-73.313794,Greens Farms Brook
2006,New 4,9,0.45,41.13149,-73.313413,Greens Farms Brook
2006,Poplar 2,6,0.3,41.16205,-73.37512,Saugatuck River
2006,Pussy Willow 1,9,0.45,41.1234,-73.34916,Pussy Willow Brook
2006,Pussy Willow 2,8,0.4,41.126496,-73.351695,Pussy Willow Brook
2006,Pussy Willow 3,9,0.45,41.129896,-73.34824,Pussy Willow Brook
2006,SG1,6,0.3,41.162278,-73.368167,Saugatuck River
2006,Saugatuck 1,5,0.25,41.16748,-73.36647,Saugatuck River
2006,Saugatuck 2,3,0.15,41.17553,-73.36193,Saugatuck River
2006,West Saug 1,7,0.35,41.17809,-73.37404,Saugatuck River
