site_name,date,indicator,conc,river_name,year,date_no_year
Sasco 1,2019-06-04T00:00:00Z,entero,10,Sasco Brook,2019,06-04
Deadman 9,2020-06-02T00:00:00Z,e.coli,11,Deadman Brook,2020,06-02
Deadman 9,2022-07-05T00:00:00Z,e.coli,11,Deadman Brook,2022,07-05
Saugatuck 1,2005-05-05T00:00:00Z,e.coli,12,Saugatuck River,2005,05-05
Sasco 1,2016-05-19T00:00:00Z,e.coli,12,Sasco Brook,2016,05-19
Saugatuck 0.75,2021-05-19T00:00:00Z,entero,10,Saugatuck River,2021,05-19
Saugatuck 2,2011-09-13T00:00:00Z,e.coli,12,Saugatuck River,2011,09-13
Deadman 10,2013-08-12T00:00:00Z,e.coli,12,Deadman Brook,2013,08-12
Deadman 9,2013-07-29T00:00:00Z,e.coli,12,Deadman Brook,2013,07-29
Sasco 4,2023-05-31T00:00:00Z,e.coli,66,Sasco Brook,2023,05-31
Sasco 4,2023-05-31T00:00:00Z,entero,10,Sasco Brook,2023,05-31
Indian 3,1995-05-04T00:00:00Z,e.coli,12,Indian River,1995,05-04
New 0.5,2023-05-30T00:00:00Z,entero,10,Greens Farms Brook,2023,05-30
Stony 2,2022-05-12T00:00:00Z,e.coli,12,Stony Brook,2022,05-12
Deadman 9,2022-08-10T00:00:00Z,e.coli,14,Deadman Brook,2022,08-10
Indian 1,1995-05-04T00:00:00Z,e.coli,14,Indian River,1995,05-04
Deadman 9,2021-07-26T00:00:00Z,e.coli,14,Deadman Brook,2021,07-26
Deadman 4,2022-08-30T00:00:00Z,e.coli,14,Deadman Brook,2022,08-30
Deadman 4,2022-08-24T00:00:00Z,e.coli,15,Deadman Brook,2022,08-24
Sasco 1,2022-06-23T00:00:00Z,entero,10,Sasco Brook,2022,06-23
West Saug 1,2016-09-26T00:00:00Z,e.coli,16,Saugatuck River,2016,09-26
Deadman 4,2020-09-24T00:00:00Z,e.coli,16,Deadman Brook,2020,09-24
Poplar 4,2009-06-02T00:00:00Z,e.coli,16,Saugatuck River,2009,06-02
Sasco 1,2016-06-14T00:00:00Z,e.coli,16,Sasco Brook,2016,06-14
Saugatuck 0.25,2021-06-07T00:00:00Z,entero,10,Saugatuck River,2021,06-07
Sasco 3,2019-09-09T00:00:00Z,entero,10,Sasco Brook,2019,09-09
Saugatuck 0.75,2021-09-21T00:00:00Z,entero,10,Saugatuck River,2021,09-21
Saugatuck 0.25,2021-06-16T00:00:00Z,entero,10,Saugatuck River,2021,06-16
SG1,2008-08-14T00:00:00Z,e.coli,16,Saugatuck River,2008,08-14
Sasco 1,2016-09-12T00:00:00Z,e.coli,16,Sasco Brook,2016,09-12
Sasco 2,2023-05-31T00:00:00Z,entero,10,Sasco Brook,2023,05-31
New 0.5,2012-07-31T00:00:00Z,e.coli,16,Greens Farms Brook,2012,07-31
Sasco 1,2016-07-18T00:00:00Z,e.coli,16,Sasco Brook,2016,07-18
Sasco 1,2016-08-29T00:00:00Z,e.coli,16,Sasco Brook,2016,08-29
Deadman 9,2020-09-24T00:00:00Z,e.coli,16,Deadman Brook,2020,09-24
Deadman 4,2021-08-05T00:00:00Z,e.coli,17,Deadman Brook,2021,08-05
West Saug 1,2005-05-05T00:00:00Z,e.coli,17,Saugatuck River,2005,05-05
Saugatuck 0.25,2020-09-15T00:00:00Z,entero,10,Saugatuck River,2020,09-15
Deadman 8,2018-05-30T00:00:00Z,e.coli,17,Deadman Brook,2018,05-30
Deadman 9,2021-08-31T00:00:00Z,e.coli,17,Deadman Brook,2021,08-31
Saugatuck 2,2005-05-05T00:00:00Z,e.coli,18,Saugatuck River,2005,05-05
Sasco 1,2018-09-05T00:00:00Z,e.coli,18,Sasco Brook,2018,09-05
Saugatuck 1,2020-05-07T00:00:00Z,e.coli,19,Saugatuck River,2020,05-07
Sasco 6,2005-05-11T00:00:00Z,e.coli,19,Sasco Brook,2005,05-11
Deadman 9,2018-08-07T00:00:00Z,e.coli,19,Deadman Brook,2018,08-07
Indian 1,2006-05-04T00:00:00Z,e.coli,20,Indian River,2006,05-04
Sasco 1,2022-09-08T00:00:00Z,entero,10,Sasco Brook,2022,09-08
Saugatuck 0.25,2019-08-27T00:00:00Z,entero,10,Saugatuck River,2019,08-27
Saugatuck 2,2006-09-07T00:00:00Z,e.coli,20,Saugatuck River,2006,09-07
Saugatuck 0.25,2019-09-23T00:00:00Z,entero,10,Saugatuck River,2019,09-23
Saugatuck 0.75,2019-08-27T00:00:00Z,entero,10,Saugatuck River,2019,08-27
Sasco 6,2018-08-27T00:00:00Z,e.coli,20,Sasco Brook,2018,08-27
Hunt Club 1,2015-08-10T00:00:00Z,e.coli,20,Sasco Brook,2015,08-10
Deadman 9,2013-07-01T00:00:00Z,e.coli,20,Deadman Brook,2013,07-01
SG1,2007-07-24T00:00:00Z,e.coli,20,Saugatuck River,2007,07-24
Stony 1.5,2020-09-22T00:00:00Z,e.coli,615,Stony Brook,2020,09-22
Saugatuck 0.25,2019-09-12T00:00:00Z,entero,10,Saugatuck River,2019,09-12
Saugatuck 0.25,2019-08-15T00:00:00Z,entero,10,Saugatuck River,2019,08-15
Sasco 1,1999-07-22T00:00:00Z,e.coli,20,Sasco Brook,1999,07-22
Deadman 8,2021-05-26T00:00:00Z,e.coli,21,Deadman Brook,2021,05-26
Sasco 1,2019-08-14T00:00:00Z,entero,10,Sasco Brook,2019,08-14
Muddy 5,2017-05-04T00:00:00Z,e.coli,21,Muddy Brook,2017,05-04
Sasco 9,1997-05-08T00:00:00Z,e.coli,21,Sasco Brook,1997,05-08
Poplar 1,2017-06-06T00:00:00Z,e.coli,22,Saugatuck River,2017,06-06
Muddy 5,2018-05-07T00:00:00Z,e.coli,22,Muddy Brook,2018,05-07
New 0.5,2023-06-26T00:00:00Z,entero,10,Greens Farms Brook,2023,06-26
Poplar 1,2017-08-03T00:00:00Z,e.coli,22,Saugatuck River,2017,08-03
Poplar 1,2017-09-21T00:00:00Z,e.coli,22,Saugatuck River,2017,09-21
SG1,2007-05-10T00:00:00Z,e.coli,22,Saugatuck River,2007,05-10
SG1,2007-05-31T00:00:00Z,e.coli,22,Saugatuck River,2007,05-31
Sasco 1,2002-09-24T00:00:00Z,e.coli,22,Sasco Brook,2002,09-24
Deadman 9,2022-05-17T00:00:00Z,e.coli,22,Deadman Brook,2022,05-17
Saugatuck 2,2020-05-07T00:00:00Z,e.coli,23,Saugatuck River,2020,05-07
Sasco 1,2019-07-31T00:00:00Z,entero,10,Sasco Brook,2019,07-31
Deadman 9,2020-07-23T00:00:00Z,e.coli,23,Deadman Brook,2020,07-23
Poplar 1,2016-05-18T00:00:00Z,e.coli,24,Saugatuck River,2016,05-18
Sasco 6,2001-05-01T00:00:00Z,e.coli,24,Sasco Brook,2001,05-01
Indian 3,2007-05-31T00:00:00Z,e.coli,24,Indian River,2007,05-31
Saugatuck 0.25,2022-07-25T00:00:00Z,entero,10,Saugatuck River,2022,07-25
Poplar 4,2009-09-23T00:00:00Z,e.coli,24,Saugatuck River,2009,09-23
Poplar 2,2007-07-26T00:00:00Z,e.coli,24,Saugatuck River,2007,07-26
Deadman 9,2018-05-30T00:00:00Z,e.coli,24,Deadman Brook,2018,05-30
SG1,2008-08-28T00:00:00Z,e.coli,24,Saugatuck River,2008,08-28
Sasco 6,2016-08-29T00:00:00Z,e.coli,24,Sasco Brook,2016,08-29
Sasco 9,1999-08-02T00:00:00Z,e.coli,24,Sasco Brook,1999,08-02
SG1,2009-07-28T00:00:00Z,e.coli,24,Saugatuck River,2009,07-28
Sasco 5,2016-08-08T00:00:00Z,e.coli,24,Sasco Brook,2016,08-08
SG1,2008-07-10T00:00:00Z,e.coli,24,Saugatuck River,2008,07-10
Saugatuck 0.25,2020-07-20T00:00:00Z,entero,10,Saugatuck River,2020,07-20
Saugatuck 0.25,2020-08-13T00:00:00Z,entero,10,Saugatuck River,2020,08-13
West Saug 1,2020-09-15T00:00:00Z,e.coli,25,Saugatuck River,2020,09-15
Muddy 6,2022-05-03T00:00:00Z,e.coli,25,Muddy Brook,2022,05-03
Sasco 1,1999-07-26T00:00:00Z,e.coli,25,Sasco Brook,1999,07-26
Saugatuck 2,2021-08-03T00:00:00Z,e.coli,26,Saugatuck River,2021,08-03
Poplar 2,2009-06-02T00:00:00Z,e.coli,26,Saugatuck River,2009,06-02
Stony 2,2019-05-23T00:00:00Z,e.coli,26,Stony Brook,2019,05-23
Deadman 9,2020-08-12T00:00:00Z,e.coli,27,Deadman Brook,2020,08-12
Stony 2,2020-05-13T00:00:00Z,e.coli,27,Stony Brook,2020,05-13
Deadman 9,2022-05-11T00:00:00Z,e.coli,28,Deadman Brook,2022,05-11
Saugatuck 2,2020-05-20T00:00:00Z,e.coli,28,Saugatuck River,2020,05-20
Stony 5,2013-09-18T00:00:00Z,e.coli,28,Stony Brook,2013,09-18
Indian 2,2016-05-19T00:00:00Z,e.coli,28,Indian River,2016,05-19
SG1,2008-05-08T00:00:00Z,e.coli,28,Saugatuck River,2008,05-08
Poplar 1,2017-06-15T00:00:00Z,e.coli,28,Saugatuck River,2017,06-15
Saugatuck 1,2008-08-28T00:00:00Z,e.coli,28,Saugatuck River,2008,08-28
Sasco 1,2004-07-01T00:00:00Z,e.coli,28,Sasco Brook,2004,07-01
Sasco 6,2013-08-21T00:00:00Z,e.coli,28,Sasco Brook,2013,08-21
Poplar 3,2016-09-12T00:00:00Z,e.coli,28,Saugatuck River,2016,09-12
West Saug 1,2018-08-21T00:00:00Z,e.coli,28,Saugatuck River,2018,08-21
SG1,2007-09-13T00:00:00Z,e.coli,28,Saugatuck River,2007,09-13
SG1,2006-08-24T00:00:00Z,e.coli,28,Saugatuck River,2006,08-24
Deadman 9,2018-08-30T00:00:00Z,e.coli,28,Deadman Brook,2018,08-30
Sasco 1,1999-06-28T00:00:00Z,e.coli,28,Sasco Brook,1999,06-28
Sasco 5,2016-07-18T00:00:00Z,e.coli,28,Sasco Brook,2016,07-18
Saugatuck 0.75,2018-05-09T00:00:00Z,e.coli,29,Saugatuck River,2018,05-09
Deadman 8,2022-05-11T00:00:00Z,e.coli,29,Deadman Brook,2022,05-11
SG1,2008-05-22T00:00:00Z,e.coli,30,Saugatuck River,2008,05-22
Muddy 5,2018-09-24T00:00:00Z,e.coli,30,Muddy Brook,2018,09-24
Deadman 8,2018-05-07T00:00:00Z,e.coli,30,Deadman Brook,2018,05-07
West Saug 1,2018-05-09T00:00:00Z,e.coli,30,Saugatuck River,2018,05-09
Sasco 1,2001-09-19T00:00:00Z,e.coli,30,Sasco Brook,2001,09-19
Sasco 6,2000-08-08T00:00:00Z,e.coli,30,Sasco Brook,2000,08-08
Saugatuck 1,2018-05-09T00:00:00Z,e.coli,31,Saugatuck River,2018,05-09
Deadman 9,2022-08-24T00:00:00Z,e.coli,31,Deadman Brook,2022,08-24
Saugatuck 2,2021-08-17T00:00:00Z,e.coli,32,Saugatuck River,2021,08-17
Stony 5,2013-09-25T00:00:00Z,e.coli,32,Stony Brook,2013,09-25
Saugatuck 2,2018-05-09T00:00:00Z,e.coli,32,Saugatuck River,2018,05-09
Indian 3,2007-05-10T00:00:00Z,e.coli,32,Indian River,2007,05-10
West Saug 1,2007-05-10T00:00:00Z,e.coli,32,Saugatuck River,2007,05-10
Saugatuck 2,2011-08-24T00:00:00Z,e.coli,32,Saugatuck River,2011,08-24
SG1,2007-08-23T00:00:00Z,e.coli,32,Saugatuck River,2007,08-23
Saugatuck 1,2006-08-24T00:00:00Z,e.coli,32,Saugatuck River,2006,08-24
Hunt Club 1,2010-06-22T00:00:00Z,e.coli,32,Sasco Brook,2010,06-22
Poplar 2,2005-07-07T00:00:00Z,e.coli,32,Saugatuck River,2005,07-07
Poplar 4,2009-07-28T00:00:00Z,e.coli,32,Saugatuck River,2009,07-28
New 0.5,2012-08-14T00:00:00Z,e.coli,32,Greens Farms Brook,2012,08-14
Sasco 1,2001-08-01T00:00:00Z,e.coli,32,Sasco Brook,2001,08-01
Sasco 4,2016-08-08T00:00:00Z,e.coli,32,Sasco Brook,2016,08-08
Sasco 1,2002-07-22T00:00:00Z,e.coli,32,Sasco Brook,2002,07-22
Sasco 1,2002-08-20T00:00:00Z,e.coli,32,Sasco Brook,2002,08-20
Hunt Club 3,2012-07-02T00:00:00Z,e.coli,32,Sasco Brook,2012,07-02
Poplar 2,2005-05-05T00:00:00Z,e.coli,34,Saugatuck River,2005,05-05
Saugatuck 2,2005-08-04T00:00:00Z,e.coli,34,Saugatuck River,2005,08-04
Sasco 9,2022-05-09T00:00:00Z,e.coli,34,Sasco Brook,2022,05-09
Deadman 8,2022-08-24T00:00:00Z,e.coli,34,Deadman Brook,2022,08-24
Stony 2,2022-08-01T00:00:00Z,e.coli,34,Stony Brook,2022,08-01
Stony 4,2023-06-08T00:00:00Z,e.coli,35,Stony Brook,2023,06-08
Poplar 2,2005-05-19T00:00:00Z,e.coli,35,Saugatuck River,2005,05-19
Sasco 9,1995-09-07T00:00:00Z,e.coli,35,Sasco Brook,1995,09-07
Sasco 1,2018-05-14T00:00:00Z,e.coli,36,Sasco Brook,2018,05-14
Poplar 2,2006-09-21T00:00:00Z,e.coli,36,Saugatuck River,2006,09-21
Poplar 4,2010-06-09T00:00:00Z,e.coli,36,Saugatuck River,2010,06-09
New 1,2016-05-24T00:00:00Z,e.coli,36,Greens Farms Brook,2016,05-24
Saugatuck 1,2007-05-10T00:00:00Z,e.coli,36,Saugatuck River,2007,05-10
Deadman 9,2013-05-20T00:00:00Z,e.coli,36,Deadman Brook,2013,05-20
Deadman 3.5,2018-06-14T00:00:00Z,e.coli,36,Deadman Brook,2018,06-14
Poplar 2,2006-08-10T00:00:00Z,e.coli,36,Saugatuck River,2006,08-10
West Saug 1,2016-09-13T00:00:00Z,e.coli,36,Saugatuck River,2016,09-13
Saugatuck 2,2018-08-21T00:00:00Z,e.coli,36,Saugatuck River,2018,08-21
Indian 1,2005-06-02T00:00:00Z,e.coli,36,Indian River,2005,06-02
Sasco 7,2018-08-27T00:00:00Z,e.coli,36,Sasco Brook,2018,08-27
Sasco 8,2018-08-27T00:00:00Z,e.coli,36,Sasco Brook,2018,08-27
SG1,2011-09-13T00:00:00Z,e.coli,36,Saugatuck River,2011,09-13
Saugatuck 1,2018-08-21T00:00:00Z,e.coli,36,Saugatuck River,2018,08-21
Sasco 8,2015-08-20T00:00:00Z,e.coli,36,Sasco Brook,2015,08-20
Sasco 7,2015-08-20T00:00:00Z,e.coli,36,Sasco Brook,2015,08-20
Poplar 2,2010-09-18T00:00:00Z,e.coli,36,Saugatuck River,2010,09-18
Deadman 5,2022-08-24T00:00:00Z,e.coli,36,Deadman Brook,2022,08-24
Saugatuck 1,2021-05-11T00:00:00Z,e.coli,37,Saugatuck River,2021,05-11
SG1,2005-05-05T00:00:00Z,e.coli,37,Saugatuck River,2005,05-05
West Saug 1,2019-06-05T00:00:00Z,e.coli,37,Saugatuck River,2019,06-05
Deadman 8,2020-08-12T00:00:00Z,e.coli,37,Deadman Brook,2020,08-12
Sasco 6,2022-05-09T00:00:00Z,e.coli,38,Sasco Brook,2022,05-09
Saugatuck 2,2007-05-31T00:00:00Z,e.coli,38,Saugatuck River,2007,05-31
Deadman 3,2022-05-11T00:00:00Z,e.coli,39,Deadman Brook,2022,05-11
New 3,2023-05-15T00:00:00Z,e.coli,39,Greens Farms Brook,2023,05-15
Stony 5,2023-08-02T00:00:00Z,e.coli,39,Stony Brook,2023,08-02
Sasco 9,2001-05-01T00:00:00Z,e.coli,39,Sasco Brook,2001,05-01
Saugatuck 2,2011-09-21T00:00:00Z,e.coli,39,Saugatuck River,2011,09-21
Stony 2,2020-07-13T00:00:00Z,e.coli,40,Stony Brook,2020,07-13
Hunt Club 2,2005-05-11T00:00:00Z,e.coli,40,Sasco Brook,2005,05-11
Saugatuck 2,2016-09-26T00:00:00Z,e.coli,40,Saugatuck River,2016,09-26
Indian 3,2005-06-02T00:00:00Z,e.coli,40,Indian River,2005,06-02
Indian 2,2017-05-18T00:00:00Z,e.coli,40,Indian River,2017,05-18
Sasco 6,2000-07-18T00:00:00Z,e.coli,40,Sasco Brook,2000,07-18
SG1,2008-07-18T00:00:00Z,e.coli,40,Saugatuck River,2008,07-18
SG1,2008-07-18T00:00:00Z,e.coli,40,Saugatuck River,2008,07-18
Poplar 2,2017-06-15T00:00:00Z,e.coli,40,Saugatuck River,2017,06-15
Sasco 8,1996-08-08T00:00:00Z,e.coli,40,Sasco Brook,1996,08-08
Saugatuck 1,2011-09-13T00:00:00Z,e.coli,40,Saugatuck River,2011,09-13
SG1,2007-09-27T00:00:00Z,e.coli,40,Saugatuck River,2007,09-27
Poplar 3,2016-08-29T00:00:00Z,e.coli,40,Saugatuck River,2016,08-29
Sasco 1,2000-07-12T00:00:00Z,e.coli,40,Sasco Brook,2000,07-12
Saugatuck 0.5,2019-08-27T00:00:00Z,entero,20,Saugatuck River,2019,08-27
Sasco 9,2013-06-26T00:00:00Z,e.coli,40,Sasco Brook,2013,06-26
Deadman 10,2013-07-01T00:00:00Z,e.coli,40,Deadman Brook,2013,07-01
Sasco 5,2013-08-21T00:00:00Z,e.coli,40,Sasco Brook,2013,08-21
Deadman 8,2018-08-30T00:00:00Z,e.coli,40,Deadman Brook,2018,08-30
Sasco 1,2014-08-18T00:00:00Z,e.coli,40,Sasco Brook,2014,08-18
Sasco 9,2001-08-09T00:00:00Z,e.coli,40,Sasco Brook,2001,08-09
Saugatuck 0.75,2019-08-15T00:00:00Z,entero,20,Saugatuck River,2019,08-15
New 0.5,2013-09-12T00:00:00Z,e.coli,40,Greens Farms Brook,2013,09-12
Saugatuck 0.5,2021-05-19T00:00:00Z,entero,20,Saugatuck River,2021,05-19
Sasco 2,2018-08-27T00:00:00Z,e.coli,40,Sasco Brook,2018,08-27
Deadman 9,2013-07-16T00:00:00Z,e.coli,40,Deadman Brook,2013,07-16
Sasco 1,2001-07-31T00:00:00Z,e.coli,40,Sasco Brook,2001,07-31
Sasco 6,2010-08-18T00:00:00Z,e.coli,40,Sasco Brook,2010,08-18
Poplar 4 Side,2011-06-23T00:00:00Z,e.coli,40,Saugatuck River,2011,06-23
Deadman 9,2023-09-27T00:00:00Z,e.coli,40,Deadman Brook,2023,09-27
Deadman 8,2020-05-21T00:00:00Z,e.coli,40,Deadman Brook,2020,05-21
Saugatuck 2,2020-09-15T00:00:00Z,e.coli,41,Saugatuck River,2020,09-15
Saugatuck 2,2019-06-05T00:00:00Z,e.coli,41,Saugatuck River,2019,06-05
Saugatuck 2,2006-05-04T00:00:00Z,e.coli,42,Saugatuck River,2006,05-04
Saugatuck 1,2007-05-31T00:00:00Z,e.coli,42,Saugatuck River,2007,05-31
Poplar 4,2010-05-25T00:00:00Z,e.coli,42,Saugatuck River,2010,05-25
Stony 2,2022-06-08T00:00:00Z,e.coli,42,Stony Brook,2022,06-08
Stony 5,2020-07-13T00:00:00Z,e.coli,42,Stony Brook,2020,07-13
Saugatuck 0.5,2021-05-11T00:00:00Z,entero,20,Saugatuck River,2021,05-11
Deadman 3.5,2023-05-31T00:00:00Z,e.coli,43,Deadman Brook,2023,05-31
Stony 2,2023-08-17T00:00:00Z,e.coli,43,Stony Brook,2023,08-17
Stony 5,2020-08-12T00:00:00Z,e.coli,43,Stony Brook,2020,08-12
Deadman 8,2021-08-31T00:00:00Z,e.coli,43,Deadman Brook,2021,08-31
West Saug 1.5,2021-05-19T00:00:00Z,e.coli,44,Saugatuck River,2021,05-19
Saugatuck 1,2022-05-12T00:00:00Z,e.coli,44,Saugatuck River,2022,05-12
Sasco 6,1997-09-25T00:00:00Z,e.coli,44,Sasco Brook,1997,09-25
Sasco 9,2001-05-17T00:00:00Z,e.coli,44,Sasco Brook,2001,05-17
Poplar 1,2017-05-15T00:00:00Z,e.coli,44,Saugatuck River,2017,05-15
Indian 3,2006-05-18T00:00:00Z,e.coli,44,Indian River,2006,05-18
Saugatuck 2,2008-09-25T00:00:00Z,e.coli,44,Saugatuck River,2008,09-25
Sasco 7,2016-05-19T00:00:00Z,e.coli,44,Sasco Brook,2016,05-19
Sasco 2,2023-05-18T00:00:00Z,entero,20,Sasco Brook,2023,05-18
Poplar 2,2006-09-07T00:00:00Z,e.coli,44,Saugatuck River,2006,09-07
Saugatuck 0.25,2022-05-12T00:00:00Z,entero,20,Saugatuck River,2022,05-12
Indian 3,2017-05-18T00:00:00Z,e.coli,44,Indian River,2017,05-18
Pussy Willow 3,2012-05-29T00:00:00Z,e.coli,44,Pussy Willow Brook,2012,05-29
