site_name,date,indicator,conc,river_name,year,date_no_year
Sasco 6,2005-07-13T00:00:00Z,e.coli,136,Sasco Brook,2005,07-13
Sasco 6,2011-09-27T00:00:00Z,e.coli,136,Sasco Brook,2011,09-27
Sasco 9,2010-08-21T00:00:00Z,e.coli,136,Sasco Brook,2010,08-21
Poplar 2,2009-08-25T00:00:00Z,e.coli,136,Saugatuck River,2009,08-25
New 0.5,2012-09-19T00:00:00Z,e.coli,136,Greens Farms Brook,2012,09-19
Sasco 4,2016-07-18T00:00:00Z,e.coli,136,Sasco Brook,2016,07-18
Sasco 8,2000-07-19T00:00:00Z,e.coli,136,Sasco Brook,2000,07-19
Sasco 6,1997-06-20T00:00:00Z,e.coli,136,Sasco Brook,1997,06-20
Sasco 7,2000-08-10T00:00:00Z,e.coli,136,Sasco Brook,2000,08-10
Deadman 5,2023-08-09T00:00:00Z,e.coli,137,Deadman Brook,2023,08-09
Muddy 5,2022-05-17T00:00:00Z,e.coli,137,Muddy Brook,2022,05-17
Hunt Club 1,2022-05-24T00:00:00Z,e.coli,138,Sasco Brook,2022,05-24
Deadman 5,2021-08-05T00:00:00Z,e.coli,138,Deadman Brook,2021,08-05
Poplar 4,2017-05-10T00:00:00Z,e.coli,138,Saugatuck River,2017,05-10
Sasco 4,2010-05-20T00:00:00Z,e.coli,138,Sasco Brook,2010,05-20
Sasco 6,2000-06-20T00:00:00Z,e.coli,140,Sasco Brook,2000,06-20
Sasco 9,1996-09-07T00:00:00Z,e.coli,140,Sasco Brook,1996,09-07
Sasco 6,2021-08-26T00:00:00Z,e.coli,140,Sasco Brook,2021,08-26
West Saug 1,2006-05-18T00:00:00Z,e.coli,140,Saugatuck River,2006,05-18
Indian 2,2017-06-06T00:00:00Z,e.coli,140,Indian River,2017,06-06
SG1,2006-05-18T00:00:00Z,e.coli,140,Saugatuck River,2006,05-18
Pussy Willow 3,2006-09-13T00:00:00Z,e.coli,140,Pussy Willow Brook,2006,09-13
Sasco 3,2016-05-19T00:00:00Z,e.coli,140,Sasco Brook,2016,05-19
Stony 2,2013-09-25T00:00:00Z,e.coli,140,Stony Brook,2013,09-25
Indian 3,2007-06-14T00:00:00Z,e.coli,140,Indian River,2007,06-14
Sasco 2,2023-05-03T00:00:00Z,entero,74,Sasco Brook,2023,05-03
Pussy Willow 2,2006-05-17T00:00:00Z,e.coli,140,Pussy Willow Brook,2006,05-17
Muddy 6,2017-09-05T00:00:00Z,e.coli,140,Muddy Brook,2017,09-05
Poplar 2,2007-05-31T00:00:00Z,e.coli,140,Saugatuck River,2007,05-31
Pussy Willow 5,2012-06-18T00:00:00Z,e.coli,140,Pussy Willow Brook,2012,06-18
Sasco 9,2004-06-14T00:00:00Z,e.coli,140,Sasco Brook,2004,06-14
Sasco 8,2016-06-15T00:00:00Z,e.coli,140,Sasco Brook,2016,06-15
Sasco 9,2016-06-14T00:00:00Z,e.coli,140,Sasco Brook,2016,06-14
Deadman 7,2018-05-30T00:00:00Z,e.coli,140,Deadman Brook,2018,05-30
Indian 3,2007-08-23T00:00:00Z,e.coli,140,Indian River,2007,08-23
Poplar 2,2010-05-25T00:00:00Z,e.coli,140,Saugatuck River,2010,05-25
Muddy 4,2019-09-16T00:00:00Z,e.coli,140,Muddy Brook,2019,09-16
New 1,2016-06-06T00:00:00Z,e.coli,140,Greens Farms Brook,2016,06-06
Hunt Club 4,2014-07-09T00:00:00Z,e.coli,140,Sasco Brook,2014,07-09
New 3,2013-09-12T00:00:00Z,e.coli,140,Greens Farms Brook,2013,09-12
Muddy 3,2018-08-30T00:00:00Z,e.coli,140,Muddy Brook,2018,08-30
West Saug 1,2007-07-26T00:00:00Z,e.coli,140,Saugatuck River,2007,07-26
Sasco 9,2011-08-19T00:00:00Z,e.coli,140,Sasco Brook,2011,08-19
Saugatuck 2,2016-07-19T00:00:00Z,e.coli,140,Saugatuck River,2016,07-19
West Saug 1,2007-06-28T00:00:00Z,e.coli,140,Saugatuck River,2007,06-28
Sasco 7,2018-08-16T00:00:00Z,e.coli,140,Sasco Brook,2018,08-16
Sasco 6,2019-07-31T00:00:00Z,e.coli,140,Sasco Brook,2019,07-31
Saugatuck 0.5,2021-09-07T00:00:00Z,entero,74,Saugatuck River,2021,09-07
Sasco 1,2001-08-30T00:00:00Z,e.coli,140,Sasco Brook,2001,08-30
Sasco 1,2014-07-28T00:00:00Z,e.coli,140,Sasco Brook,2014,07-28
Muddy 6,2006-08-16T00:00:00Z,e.coli,140,Muddy Brook,2006,08-16
Poplar 2,2008-05-31T00:00:00Z,e.coli,140,Saugatuck River,2008,05-31
Stony 3,2020-09-22T00:00:00Z,e.coli,141,Stony Brook,2020,09-22
New 3,2023-07-31T00:00:00Z,e.coli,141,Greens Farms Brook,2023,07-31
Sasco 9,2019-09-09T00:00:00Z,e.coli,142,Sasco Brook,2019,09-09
Sasco 9,2005-07-27T00:00:00Z,e.coli,142,Sasco Brook,2005,07-27
Muddy 5,2022-09-20T00:00:00Z,e.coli,142,Muddy Brook,2022,09-20
Stony 3,2023-06-26T00:00:00Z,e.coli,142,Stony Brook,2023,06-26
West Saug 1.5,2021-07-12T00:00:00Z,e.coli,142,Saugatuck River,2021,07-12
Sasco 6,2022-07-14T00:00:00Z,e.coli,142,Sasco Brook,2022,07-14
Sasco 9,2000-07-18T00:00:00Z,e.coli,143,Sasco Brook,2000,07-18
Hunt Club 2,2003-05-29T00:00:00Z,e.coli,144,Sasco Brook,2003,05-29
Sasco 9,2003-05-29T00:00:00Z,e.coli,144,Sasco Brook,2003,05-29
Saugatuck 1,2017-05-22T00:00:00Z,e.coli,144,Saugatuck River,2017,05-22
Saugatuck 0.75,2022-08-01T00:00:00Z,entero,74,Saugatuck River,2022,08-01
Sasco 9,2010-05-25T00:00:00Z,e.coli,144,Sasco Brook,2010,05-25
Deadman 5,2018-05-30T00:00:00Z,e.coli,144,Deadman Brook,2018,05-30
Saugatuck 1,2016-09-13T00:00:00Z,e.coli,144,Saugatuck River,2016,09-13
Muddy 4,2012-08-22T00:00:00Z,e.coli,144,Muddy Brook,2012,08-22
Sasco 1,2023-08-09T00:00:00Z,entero,74,Sasco Brook,2023,08-09
Hunt Club 1,2010-08-21T00:00:00Z,e.coli,144,Sasco Brook,2010,08-21
Sasco 2,2023-09-06T00:00:00Z,entero,74,Sasco Brook,2023,09-06
Saugatuck 2,2007-07-12T00:00:00Z,e.coli,144,Saugatuck River,2007,07-12
West Saug 1,2016-08-09T00:00:00Z,e.coli,144,Saugatuck River,2016,08-09
Sasco 6,2013-06-26T00:00:00Z,e.coli,144,Sasco Brook,2013,06-26
Sasco 1,2023-07-27T00:00:00Z,entero,74,Sasco Brook,2023,07-27
West Saug 1,2008-07-10T00:00:00Z,e.coli,144,Saugatuck River,2008,07-10
Sasco 9,1997-09-11T00:00:00Z,e.coli,144,Sasco Brook,1997,09-11
Deadman 9,2023-05-02T00:00:00Z,e.coli,144,Deadman Brook,2023,05-02
Muddy 1,2017-09-05T00:00:00Z,e.coli,145,Muddy Brook,2017,09-05
Muddy 1,2018-08-30T00:00:00Z,e.coli,145,Muddy Brook,2018,08-30
Sasco 9,1999-07-19T00:00:00Z,e.coli,146,Sasco Brook,1999,07-19
New 3,1998-07-15T00:00:00Z,e.coli,146,Greens Farms Brook,1998,07-15
Sasco 9,2022-05-24T00:00:00Z,e.coli,147,Sasco Brook,2022,05-24
Stony 3,2022-05-23T00:00:00Z,e.coli,147,Stony Brook,2022,05-23
Hunt Club 2,2011-05-23T00:00:00Z,e.coli,148,Sasco Brook,2011,05-23
Hunt Club 2,2011-06-06T00:00:00Z,e.coli,148,Sasco Brook,2011,06-06
Muddy 4,2018-09-24T00:00:00Z,e.coli,148,Muddy Brook,2018,09-24
SG1,2005-06-02T00:00:00Z,e.coli,148,Saugatuck River,2005,06-02
Pussy Willow 1,2014-09-30T00:00:00Z,e.coli,148,Pussy Willow Brook,2014,09-30
Sasco 6,2001-07-12T00:00:00Z,e.coli,148,Sasco Brook,2001,07-12
Sasco 5,2011-06-07T00:00:00Z,e.coli,148,Sasco Brook,2011,06-07
Sasco 2,2016-06-14T00:00:00Z,e.coli,148,Sasco Brook,2016,06-14
Sasco 3,2023-05-03T00:00:00Z,e.coli,42,Sasco Brook,2023,05-03
Sasco 3,2023-05-03T00:00:00Z,entero,74,Sasco Brook,2023,05-03
Saugatuck 2,2007-09-27T00:00:00Z,e.coli,148,Saugatuck River,2007,09-27
Hunt Club 4,2014-07-23T00:00:00Z,e.coli,148,Sasco Brook,2014,07-23
Sasco 9,2005-07-13T00:00:00Z,e.coli,148,Sasco Brook,2005,07-13
Sasco 9,2002-07-30T00:00:00Z,e.coli,148,Sasco Brook,2002,07-30
Poplar 2,2005-09-01T00:00:00Z,e.coli,148,Saugatuck River,2005,09-01
Sasco 2,2016-07-28T00:00:00Z,e.coli,148,Sasco Brook,2016,07-28
Pussy Willow 3,2009-07-08T00:00:00Z,e.coli,148,Pussy Willow Brook,2009,07-08
Deadman 2,2020-05-21T00:00:00Z,e.coli,148,Deadman Brook,2020,05-21
Deadman 7.1,2020-08-24T00:00:00Z,e.coli,150,Deadman Brook,2020,08-24
Sasco 9,2005-05-24T00:00:00Z,e.coli,150,Sasco Brook,2005,05-24
Muddy 1,2006-09-13T00:00:00Z,e.coli,150,Muddy Brook,2006,09-13
Indian 3,2006-05-04T00:00:00Z,e.coli,150,Indian River,2006,05-04
Pussy Willow 1,2014-09-16T00:00:00Z,e.coli,150,Pussy Willow Brook,2014,09-16
Hunt Club 4,2013-06-21T00:00:00Z,e.coli,150,Sasco Brook,2013,06-21
Pussy Willow 1,2014-09-23T00:00:00Z,e.coli,150,Pussy Willow Brook,2014,09-23
Indian 3.1,2022-09-21T00:00:00Z,e.coli,437,Indian River,2022,09-21
Hunt Club 4,2016-06-29T00:00:00Z,e.coli,150,Sasco Brook,2016,06-29
Saugatuck 0.5,2018-08-01T00:00:00Z,e.coli,150,Saugatuck River,2018,08-01
Deadman 2,2022-05-11T00:00:00Z,e.coli,152,Deadman Brook,2022,05-11
West Saug 1.5,2021-06-16T00:00:00Z,e.coli,152,Saugatuck River,2021,06-16
Saugatuck 0.75,2020-06-03T00:00:00Z,entero,74,Saugatuck River,2020,06-03
SG1,2011-05-20T00:00:00Z,e.coli,152,Saugatuck River,2011,05-20
Sasco 6,2016-06-14T00:00:00Z,e.coli,152,Sasco Brook,2016,06-14
Sasco 3,2013-09-24T00:00:00Z,e.coli,152,Sasco Brook,2013,09-24
Pussy Willow 2,2012-05-29T00:00:00Z,e.coli,152,Pussy Willow Brook,2012,05-29
Sasco 8,2018-05-30T00:00:00Z,e.coli,152,Sasco Brook,2018,05-30
Sasco 9,2002-09-10T00:00:00Z,e.coli,152,Sasco Brook,2002,09-10
West Saug 1,2008-06-26T00:00:00Z,e.coli,152,Saugatuck River,2008,06-26
Hunt Club 3,2014-07-09T00:00:00Z,e.coli,152,Sasco Brook,2014,07-09
Muddy 6,2018-08-30T00:00:00Z,e.coli,152,Muddy Brook,2018,08-30
Sasco 9,2004-08-09T00:00:00Z,e.coli,152,Sasco Brook,2004,08-09
Saugatuck 2,2007-06-28T00:00:00Z,e.coli,152,Saugatuck River,2007,06-28
Sasco 9,2011-06-01T00:00:00Z,e.coli,152,Sasco Brook,2011,06-01
Deadman 8,2013-07-29T00:00:00Z,e.coli,152,Deadman Brook,2013,07-29
Sasco 1,2001-08-22T00:00:00Z,e.coli,152,Sasco Brook,2001,08-22
Sasco 5,2005-07-27T00:00:00Z,e.coli,152,Sasco Brook,2005,07-27
Sasco 6,1995-06-03T00:00:00Z,e.coli,152,Sasco Brook,1995,06-03
Sasco 7,2000-07-19T00:00:00Z,e.coli,152,Sasco Brook,2000,07-19
Sasco 9,1995-08-16T00:00:00Z,e.coli,152,Sasco Brook,1995,08-16
Sasco 8,2000-08-10T00:00:00Z,e.coli,152,Sasco Brook,2000,08-10
Sasco 1,2000-08-23T00:00:00Z,e.coli,152,Sasco Brook,2000,08-23
Stony 5,2023-06-26T00:00:00Z,e.coli,153,Stony Brook,2023,06-26
Muddy 3,2019-09-16T00:00:00Z,e.coli,153,Muddy Brook,2019,09-16
Sasco 9,1996-06-06T00:00:00Z,e.coli,154,Sasco Brook,1996,06-06
Poplar 4,2017-08-14T00:00:00Z,e.coli,155,Saugatuck River,2017,08-14
Stony 2,2023-06-13T00:00:00Z,e.coli,155,Stony Brook,2023,06-13
Sasco 7,2010-05-25T00:00:00Z,e.coli,156,Sasco Brook,2010,05-25
Sasco 5,2013-05-22T00:00:00Z,e.coli,156,Sasco Brook,2013,05-22
Indian 3,2007-09-27T00:00:00Z,e.coli,156,Indian River,2007,09-27
Muddy 2,2019-07-09T00:00:00Z,e.coli,156,Muddy Brook,2019,07-09
Sasco 6,2023-08-17T00:00:00Z,e.coli,156,Sasco Brook,2023,08-17
Pussy Willow 3,2011-09-26T00:00:00Z,e.coli,156,Pussy Willow Brook,2011,09-26
Sasco 2,2022-09-08T00:00:00Z,entero,74,Sasco Brook,2022,09-08
Saugatuck 1,2007-07-26T00:00:00Z,e.coli,156,Saugatuck River,2007,07-26
Sasco 5,2005-09-21T00:00:00Z,e.coli,156,Sasco Brook,2005,09-21
Saugatuck 0.5,2020-07-06T00:00:00Z,entero,74,Saugatuck River,2020,07-06
Sasco 9,2016-07-28T00:00:00Z,e.coli,156,Sasco Brook,2016,07-28
Sasco 2,2016-07-18T00:00:00Z,e.coli,156,Sasco Brook,2016,07-18
Sasco 6,2021-06-01T00:00:00Z,e.coli,156,Sasco Brook,2021,06-01
Sasco 9,2021-08-26T00:00:00Z,e.coli,157,Sasco Brook,2021,08-26
Sasco 2,2022-08-22T00:00:00Z,entero,74,Sasco Brook,2022,08-22
Deadman 8,2021-08-05T00:00:00Z,e.coli,158,Deadman Brook,2021,08-05
Hunt Club 2,2021-05-24T00:00:00Z,e.coli,158,Sasco Brook,2021,05-24
Sasco 9,2019-06-04T00:00:00Z,e.coli,158,Sasco Brook,2019,06-04
Poplar 4,2010-06-01T00:00:00Z,e.coli,158,Saugatuck River,2010,06-01
Pussy Willow 5,2019-08-05T00:00:00Z,e.coli,158,Pussy Willow Brook,2019,08-05
Stony 5,2022-08-15T00:00:00Z,e.coli,160,Stony Brook,2022,08-15
Saugatuck 2,2021-09-07T00:00:00Z,e.coli,160,Saugatuck River,2021,09-07
Sasco 6,1999-07-08T00:00:00Z,e.coli,160,Sasco Brook,1999,07-08
Deadman 3,2012-09-25T00:00:00Z,e.coli,160,Deadman Brook,2012,09-25
Hunt Club 2,2010-06-09T00:00:00Z,e.coli,160,Sasco Brook,2010,06-09
Pussy Willow 2,2012-06-18T00:00:00Z,e.coli,160,Pussy Willow Brook,2012,06-18
Hunt Club 2,2011-06-01T00:00:00Z,e.coli,160,Sasco Brook,2011,06-01
Sasco 3,2002-06-17T00:00:00Z,e.coli,160,Sasco Brook,2002,06-17
Lamplight 1,2012-06-06T00:00:00Z,e.coli,160,Pussy Willow Brook,2012,06-06
Sasco 9,2004-05-17T00:00:00Z,e.coli,160,Sasco Brook,2004,05-17
Saugatuck 1,2017-06-29T00:00:00Z,e.coli,160,Saugatuck River,2017,06-29
Deadman 1,2018-09-24T00:00:00Z,e.coli,160,Deadman Brook,2018,09-24
Sasco 9,2004-07-01T00:00:00Z,e.coli,160,Sasco Brook,2004,07-01
Saugatuck 1,2016-06-16T00:00:00Z,e.coli,160,Saugatuck River,2016,06-16
West Saug 1,2006-08-24T00:00:00Z,e.coli,160,Saugatuck River,2006,08-24
Hunt Club 3,2013-06-18T00:00:00Z,e.coli,160,Sasco Brook,2013,06-18
Saugatuck 0.75,2020-06-24T00:00:00Z,entero,74,Saugatuck River,2020,06-24
Sasco 5,2003-09-10T00:00:00Z,e.coli,160,Sasco Brook,2003,09-10
Saugatuck 1,2011-06-30T00:00:00Z,e.coli,160,Saugatuck River,2011,06-30
Muddy 4,2012-07-11T00:00:00Z,e.coli,160,Muddy Brook,2012,07-11
Saugatuck 2,2008-06-12T00:00:00Z,e.coli,160,Saugatuck River,2008,06-12
Deadman 7,2018-08-30T00:00:00Z,e.coli,160,Deadman Brook,2018,08-30
Poplar 2,2008-07-10T00:00:00Z,e.coli,160,Saugatuck River,2008,07-10
Sasco 5,2004-07-01T00:00:00Z,e.coli,160,Sasco Brook,2004,07-01
Sasco 1,2001-09-26T00:00:00Z,e.coli,160,Sasco Brook,2001,09-26
West Saug 1,2016-07-06T00:00:00Z,e.coli,160,Saugatuck River,2016,07-06
West Saug 1,2006-07-20T00:00:00Z,e.coli,160,Saugatuck River,2006,07-20
Deadman 3.5,2018-08-07T00:00:00Z,e.coli,160,Deadman Brook,2018,08-07
Sasco 1,2003-08-12T00:00:00Z,e.coli,160,Sasco Brook,2003,08-12
Saugatuck 0.25,2018-08-01T00:00:00Z,e.coli,160,Saugatuck River,2018,08-01
Sasco 1,2001-08-09T00:00:00Z,e.coli,160,Sasco Brook,2001,08-09
Sasco 2,2014-07-21T00:00:00Z,e.coli,160,Sasco Brook,2014,07-21
Sasco 1,2014-09-02T00:00:00Z,e.coli,160,Sasco Brook,2014,09-02
Sasco 8,2016-06-22T00:00:00Z,e.coli,160,Sasco Brook,2016,06-22
Muddy 5,2019-05-06T00:00:00Z,e.coli,161,Muddy Brook,2019,05-06
Saugatuck 0.75,2020-07-20T00:00:00Z,entero,74,Saugatuck River,2020,07-20
Sasco 6,2019-09-16T00:00:00Z,e.coli,161,Sasco Brook,2019,09-16
Hunt Club 2,2022-05-24T00:00:00Z,e.coli,162,Sasco Brook,2022,05-24
Sasco 6,2022-05-24T00:00:00Z,e.coli,162,Sasco Brook,2022,05-24
Deadman 4,2021-06-07T00:00:00Z,e.coli,162,Deadman Brook,2021,06-07
Deadman 8,2021-07-26T00:00:00Z,e.coli,162,Deadman Brook,2021,07-26
Deadman 8,2021-07-15T00:00:00Z,e.coli,162,Deadman Brook,2021,07-15
Muddy 3,2022-05-17T00:00:00Z,e.coli,162,Muddy Brook,2022,05-17
Sasco 9,2023-08-17T00:00:00Z,e.coli,162,Sasco Brook,2023,08-17
Sasco 9,2003-06-09T00:00:00Z,e.coli,162,Sasco Brook,2003,06-09
Pussy Willow 2.5,2019-06-03T00:00:00Z,e.coli,162,Pussy Willow Brook,2019,06-03
Deadman 3,2022-05-17T00:00:00Z,e.coli,162,Deadman Brook,2022,05-17
Deadman 3,2023-09-27T00:00:00Z,e.coli,163,Deadman Brook,2023,09-27
Deadman 3,2021-09-14T00:00:00Z,e.coli,163,Deadman Brook,2021,09-14
Deadman 8,2023-08-09T00:00:00Z,e.coli,163,Deadman Brook,2023,08-09
Sasco 6,2018-06-07T00:00:00Z,e.coli,164,Sasco Brook,2018,06-07
Hunt Club 4,2016-06-15T00:00:00Z,e.coli,164,Sasco Brook,2016,06-15
Sasco 5,2011-05-25T00:00:00Z,e.coli,164,Sasco Brook,2011,05-25
Sasco 2,2014-06-16T00:00:00Z,e.coli,164,Sasco Brook,2014,06-16
Sasco 3,2014-06-23T00:00:00Z,e.coli,164,Sasco Brook,2014,06-23
Poplar 4,2017-09-21T00:00:00Z,e.coli,164,Saugatuck River,2017,09-21
Poplar 1.5,2011-06-23T00:00:00Z,e.coli,164,Saugatuck River,2011,06-23
Sasco 4,2014-07-21T00:00:00Z,e.coli,164,Sasco Brook,2014,07-21
Saugatuck 1,2017-07-19T00:00:00Z,e.coli,164,Saugatuck River,2017,07-19
Sasco 7,2016-07-28T00:00:00Z,e.coli,164,Sasco Brook,2016,07-28
Deadman 0.5,2020-09-24T00:00:00Z,entero,74,Deadman Brook,2020,09-24
Muddy 6,2008-06-27T00:00:00Z,e.coli,164,Muddy Brook,2008,06-27
Muddy 4,2017-05-04T00:00:00Z,e.coli,166,Muddy Brook,2017,05-04
Stony 4,2019-05-23T00:00:00Z,e.coli,166,Stony Brook,2019,05-23
Sasco 9,2019-07-09T00:00:00Z,e.coli,166,Sasco Brook,2019,07-09
Muddy 2,2022-08-10T00:00:00Z,e.coli,166,Muddy Brook,2022,08-10
Stony 4,2023-08-02T00:00:00Z,e.coli,166,Stony Brook,2023,08-02
Stony 3,2022-07-25T00:00:00Z,e.coli,166,Stony Brook,2022,07-25
Muddy 3,2019-09-09T00:00:00Z,e.coli,167,Muddy Brook,2019,09-09
Muddy 1,2019-09-09T00:00:00Z,e.coli,167,Muddy Brook,2019,09-09
Sasco 9,2019-07-31T00:00:00Z,e.coli,167,Sasco Brook,2019,07-31
West Saug 1.5,2021-09-07T00:00:00Z,e.coli,167,Saugatuck River,2021,09-07
Sasco 2,1996-08-07T00:00:00Z,e.coli,168,Sasco Brook,1996,08-07
Sasco 9,1995-06-03T00:00:00Z,e.coli,168,Sasco Brook,1995,06-03
Sasco 7,1998-06-22T00:00:00Z,e.coli,168,Sasco Brook,1998,06-22
Sasco 6,2000-07-10T00:00:00Z,e.coli,168,Sasco Brook,2000,07-10
Sasco 9,1999-07-12T00:00:00Z,e.coli,168,Sasco Brook,1999,07-12
Sasco 6,1995-07-21T00:00:00Z,e.coli,168,Sasco Brook,1995,07-21
Sasco 6,2000-08-07T00:00:00Z,e.coli,168,Sasco Brook,2000,08-07
Sasco 8,2010-05-25T00:00:00Z,e.coli,168,Sasco Brook,2010,05-25
New 2,2013-09-26T00:00:00Z,e.coli,168,Greens Farms Brook,2013,09-26
Saugatuck 0.75,2019-06-26T00:00:00Z,entero,75,Saugatuck River,2019,06-26
Sasco 9,2002-09-24T00:00:00Z,e.coli,168,Sasco Brook,2002,09-24
Indian 1,2008-08-28T00:00:00Z,e.coli,168,Indian River,2008,08-28
Sasco 8,2016-06-29T00:00:00Z,e.coli,168,Sasco Brook,2016,06-29
Sasco 8,2016-06-29T00:00:00Z,e.coli,168,Sasco Brook,2016,06-29
Sasco 9,2011-06-08T00:00:00Z,e.coli,168,Sasco Brook,2011,06-08
Pussy Willow 2,2011-09-26T00:00:00Z,e.coli,168,Pussy Willow Brook,2011,09-26
Saugatuck 1,2011-06-01T00:00:00Z,e.coli,168,Saugatuck River,2011,06-01
Saugatuck 0.25,2022-09-14T00:00:00Z,entero,84,Saugatuck River,2022,09-14
Sasco 9,2010-08-18T00:00:00Z,e.coli,168,Sasco Brook,2010,08-18
Stony 5,2020-09-02T00:00:00Z,e.coli,168,Stony Brook,2020,09-02
Deadman 2,2018-05-07T00:00:00Z,e.coli,170,Deadman Brook,2018,05-07
Deadman 2,2018-07-09T00:00:00Z,e.coli,170,Deadman Brook,2018,07-09
Hunt Club 4,2015-08-13T00:00:00Z,e.coli,170,Sasco Brook,2015,08-13
Muddy 1,2017-08-10T00:00:00Z,e.coli,170,Muddy Brook,2017,08-10
Sasco 7,2011-08-18T00:00:00Z,e.coli,170,Sasco Brook,2011,08-18
Sasco 3,2014-08-04T00:00:00Z,e.coli,170,Sasco Brook,2014,08-04
Muddy 4,2018-08-30T00:00:00Z,e.coli,170,Muddy Brook,2018,08-30
Sasco 1,2001-07-16T00:00:00Z,e.coli,170,Sasco Brook,2001,07-16
Deadman 7,2021-08-31T00:00:00Z,e.coli,172,Deadman Brook,2021,08-31
Deadman 5,2023-09-27T00:00:00Z,e.coli,172,Deadman Brook,2023,09-27
Sasco 2,2018-05-14T00:00:00Z,e.coli,172,Sasco Brook,2018,05-14
Sasco 3,2012-09-25T00:00:00Z,e.coli,172,Sasco Brook,2012,09-25
Indian 3,2016-06-09T00:00:00Z,e.coli,172,Indian River,2016,06-09
Sasco 9,2003-09-10T00:00:00Z,e.coli,172,Sasco Brook,2003,09-10
Poplar 3,2010-06-09T00:00:00Z,e.coli,172,Saugatuck River,2010,06-09
Saugatuck 2,2021-05-19T00:00:00Z,e.coli,172,Saugatuck River,2021,05-19
Muddy 3,2018-05-30T00:00:00Z,e.coli,172,Muddy Brook,2018,05-30
Indian 3,2006-06-22T00:00:00Z,e.coli,172,Indian River,2006,06-22
Sasco 9,2021-05-24T00:00:00Z,e.coli,172,Sasco Brook,2021,05-24
Poplar 2,2017-08-14T00:00:00Z,e.coli,172,Saugatuck River,2017,08-14
Sasco 6,2016-06-29T00:00:00Z,e.coli,172,Sasco Brook,2016,06-29
Deadman 3.5,2022-07-05T00:00:00Z,e.coli,172,Deadman Brook,2022,07-05
Saugatuck 0.5,2022-07-07T00:00:00Z,entero,84,Saugatuck River,2022,07-07
Poplar 2,2011-07-28T00:00:00Z,e.coli,172,Saugatuck River,2011,07-28
Sasco 5,2005-06-08T00:00:00Z,e.coli,172,Sasco Brook,2005,06-08
West Saug 1,2019-06-26T00:00:00Z,e.coli,172,Saugatuck River,2019,06-26
West Saug 1,2019-08-15T00:00:00Z,e.coli,172,Saugatuck River,2019,08-15
Saugatuck 1,2005-07-21T00:00:00Z,e.coli,172,Saugatuck River,2005,07-21
Sasco 4,2013-05-22T00:00:00Z,e.coli,172,Sasco Brook,2013,05-22
Sasco 4,2014-09-02T00:00:00Z,e.coli,172,Sasco Brook,2014,09-02
Muddy 4,2022-05-17T00:00:00Z,e.coli,172,Muddy Brook,2022,05-17
Saugatuck 2,2021-07-12T00:00:00Z,e.coli,172,Saugatuck River,2021,07-12
West Saug 1,2020-09-03T00:00:00Z,e.coli,172,Saugatuck River,2020,09-03
Deadman 9,2022-09-15T00:00:00Z,e.coli,172,Deadman Brook,2022,09-15
Deadman 8,2022-06-13T00:00:00Z,e.coli,172,Deadman Brook,2022,06-13
Muddy 1,2022-08-29T00:00:00Z,e.coli,172,Muddy Brook,2022,08-29
Indian 2,2023-08-02T00:00:00Z,e.coli,174,Indian River,2023,08-02
Muddy 3,1998-07-20T00:00:00Z,e.coli,174,Muddy Brook,1998,07-20
Deadman 2,2018-08-30T00:00:00Z,e.coli,175,Deadman Brook,2018,08-30
Sasco 9,1995-07-17T00:00:00Z,e.coli,176,Sasco Brook,1995,07-17
Sasco 3,1995-08-02T00:00:00Z,e.coli,176,Sasco Brook,1995,08-02
Muddy 1,2006-05-25T00:00:00Z,e.coli,176,Muddy Brook,2006,05-25
Sasco 3,2001-05-08T00:00:00Z,e.coli,176,Sasco Brook,2001,05-08
Sasco 3,2002-06-03T00:00:00Z,e.coli,176,Sasco Brook,2002,06-03
Sasco 9,2011-06-07T00:00:00Z,e.coli,176,Sasco Brook,2011,06-07
Indian 1,2003-07-15T00:00:00Z,e.coli,176,Indian River,2003,07-15
Deadman 7.2,2013-08-12T00:00:00Z,e.coli,176,Deadman Brook,2013,08-12
Saugatuck 1,2008-06-26T00:00:00Z,e.coli,176,Saugatuck River,2008,06-26
Saugatuck 1,2016-08-25T00:00:00Z,e.coli,176,Saugatuck River,2016,08-25
Saugatuck 1,2018-06-20T00:00:00Z,e.coli,176,Saugatuck River,2018,06-20
Saugatuck 1,2007-07-24T00:00:00Z,e.coli,176,Saugatuck River,2007,07-24
Stony 1,2020-05-13T00:00:00Z,entero,85,Stony Brook,2020,05-13
Saugatuck 2,2008-07-10T00:00:00Z,e.coli,176,Saugatuck River,2008,07-10
Sasco 7,2023-08-17T00:00:00Z,e.coli,176,Sasco Brook,2023,08-17
New 2,2023-05-15T00:00:00Z,e.coli,179,Greens Farms Brook,2023,05-15
New 2,2023-05-15T00:00:00Z,entero,86,Greens Farms Brook,2023,05-15
Sasco 9,2019-06-20T00:00:00Z,e.coli,179,Sasco Brook,2019,06-20
Pussy Willow 2,2012-05-21T00:00:00Z,e.coli,180,Pussy Willow Brook,2012,05-21
Deadman 7.2,2013-05-20T00:00:00Z,e.coli,180,Deadman Brook,2013,05-20
Pussy Willow 3,2006-05-17T00:00:00Z,e.coli,180,Pussy Willow Brook,2006,05-17
Saugatuck 2,2018-09-25T00:00:00Z,e.coli,180,Saugatuck River,2018,09-25
